Date	Wtag	Info	Daytext	Textcontent	Dayfont	Daycontent	Dt
01.01.2020	Quarta						.
02.01.2020	Quinta						.
03.01.2020	Sexta						.
04.01.2020	Sabado						.
05.01.2020	Domingo						.
06.01.2020	Segunda						.
07.01.2020	Terça						.
08.01.2020	Quarta						.
09.01.2020	Quinta						.
10.01.2020	Sexta						.
11.01.2020	Sabado						.
12.01.2020	Domingo						.
13.01.2020	Segunda						.
14.01.2020	Terça						.
15.01.2020	Quarta						.
16.01.2020	Quinta						.
17.01.2020	Sexta						.
18.01.2020	Sabado						.
19.01.2020	Domingo						.
20.01.2020	Segunda						.
21.01.2020	Terça						.
22.01.2020	Quarta						.
23.01.2020	Quinta						.
24.01.2020	Sexta						.
25.01.2020	Sabado						.
26.01.2020	Domingo						.
27.01.2020	Segunda						.
28.01.2020	Terça						.
29.01.2020	Quarta						.
30.01.2020	Quinta						.
31.01.2020	Sexta						.
01.02.2020	Sabado						.
02.02.2020	Domingo						.
03.02.2020	Segunda						.
04.02.2020	Terça						.
05.02.2020	Quarta						.
06.02.2020	Quinta						.
07.02.2020	Sexta						.
08.02.2020	Sabado						.
09.02.2020	Domingo						.
10.02.2020	Segunda						.
11.02.2020	Terça						.
12.02.2020	Quarta						.
13.02.2020	Quinta						.
14.02.2020	Sexta						.
15.02.2020	Sabado						.
16.02.2020	Domingo						.
17.02.2020	Segunda						.
18.02.2020	Terça						.
19.02.2020	Quarta						.
20.02.2020	Quinta						.
21.02.2020	Sexta						.
22.02.2020	Sabado						.
23.02.2020	Domingo						.
24.02.2020	Segunda						.
25.02.2020	Terça						.
26.02.2020	Quarta						.
27.02.2020	Quinta						.
28.02.2020	Sexta						.
29.02.2020	Sabado						.
01.03.2020	Domingo						.
02.03.2020	Segunda						.
03.03.2020	Terça						.
04.03.2020	Quarta						.
05.03.2020	Quinta						.
06.03.2020	Sexta						.
07.03.2020	Sabado						.
08.03.2020	Domingo						.
09.03.2020	Segunda						.
10.03.2020	Terça						.
11.03.2020	Quarta						.
12.03.2020	Quinta						.
13.03.2020	Sexta						.
14.03.2020	Sabado						.
15.03.2020	Domingo						.
16.03.2020	Segunda						.
17.03.2020	Terça						.
18.03.2020	Quarta						.
19.03.2020	Quinta						.
20.03.2020	Sexta						.
21.03.2020	Sabado						.
22.03.2020	Domingo						.
23.03.2020	Segunda						.
24.03.2020	Terça						.
25.03.2020	Quarta						.
26.03.2020	Quinta						.
27.03.2020	Sexta						.
28.03.2020	Sabado						.
29.03.2020	Domingo						.
30.03.2020	Segunda						.
31.03.2020	Terça						.
01.04.2020	Quarta						.
02.04.2020	Quinta						.
03.04.2020	Sexta						.
04.04.2020	Sabado						.
05.04.2020	Domingo						.
06.04.2020	Segunda						.
07.04.2020	Terça						.
08.04.2020	Quarta						.
09.04.2020	Quinta						.
10.04.2020	Sexta						.
11.04.2020	Sabado						.
12.04.2020	Domingo						.
13.04.2020	Segunda						.
14.04.2020	Terça						.
15.04.2020	Quarta						.
16.04.2020	Quinta						.
17.04.2020	Sexta						.
18.04.2020	Sabado						.
19.04.2020	Domingo						.
20.04.2020	Segunda						.
21.04.2020	Terça						.
22.04.2020	Quarta						.
23.04.2020	Quinta						.
24.04.2020	Sexta						.
25.04.2020	Sabado		Sal. 90:10.	Esses anos são repletos de dificuldades e tristeza.	w18.09 13 §§ 3, 5.	Nestes tempos críticos muitos passam por graus diferentes de problemas emocionais. 2 Tim 3:1-5. Muitas pessoas acham que não vale a pena continuar vivendo, e mais de 800 mil pessoas se suicidam por ano. Isso equivale a uma morte a cada 40 segundos. Infelizmente, até alguns cristãos acabaram tirando a própria vida quando passaram por essas pressões. Nem todos os cristãos chegam a ponto de achar que não vale a pena continuar vivendo. Mesmo assim, todos lidam com situações estressantes e precisam do amor que edifica. Alguns sofrem zombaria ou perseguição. Outros são criticados ou são assunto de fofocas no local de trabalho. Ou talvez estejam exaustos porque precisam trabalhar muitas horas por dia ou cumprir prazos impossíveis. Há também os que lidam com problemas difíceis dentro de casa, como aqueles que aguentam as críticas de um marido ou esposa descrente. Todas essas pressões fazem nossos irmãos se sentirem esgotados em sentido físico e emocional.	.
26.04.2020	Domingo		3 Joao 3,4.	Não tenho alegria maior do que esta: ouvir que os meus filhos continuam andando na verdade.	1 Sam. 1:28. w18.08 24 § 4.	Um modo de colocar o Reino em primeiro lugar é por ajudá-los a ter alvos espirituais. Muitos pais que fizeram isso viram seus filhos entrar no tempo integral e servir em lugares longe de casa. Alguns se tornaram missionários, outros são pioneiros em territórios que precisam de ajuda e ainda outros servem em Betel. Quando os filhos estão longe, nem sempre dá para os pais passarem o tempo que gostariam com eles. Mesmo assim, os pais incentivam os filhos a continuar servindo onde estão. Por quê? Porque se sentem felizes de ver seus filhos colocando o Reino em primeiro lugar. Muitos desses pais talvez sintam o mesmo que Ana. Ela disse que tinha 'emprestado' seu filho Samuel para Jeová. Para os pais, colaborar com Jeová dessa maneira é um enorme privilégio, e nunca trocariam isso por nada.	.
27.04.2020	Segunda		Mat. 19:23.	Será difícil para um rico entrar no Reino dos céus.	w18.08 10-11 §§ 11-12	Jesus não disse que isso seria impossível. Mas ele também disse: "Felizes são vocês, pobres, pois o Reino de Deus é de vocês." (Luc. 6:20) Será que isso quer dizer que toda pessoa pobre iria escutá-lo ou receberia bênçãos especiais? Não. Houve muitas pessoas pobres que não se tornaram seguidoras de Jesus. O ponto é: não podemos julgar a relação de uma pessoa com Jeová pelas coisas que ela tem. É muito bom termos na congregação irmãos e irmãs que amam e servem a Jeová, não importa se são ricos ou pobres. A Bíblia aconselha os que são ricos: "Não baseiem a sua esperança nas riquezas incertas, mas em Deus." (1 Tim. 6:17-19) Ao mesmo tempo, a Palavra de Deus diz para todos nós, ricos ou pobres, não amarmos o dinheiro. (1 Tim. 6:9, 10) Se aprendermos a ver os irmãos assim como Jeová vê, não corremos o risco de julgá-los pela condição financeira.	.
28.04.2020	Terça		Tia. 4:7.	Sujeitem-se a Deus.	Sal. 33:12. w18.07 26 §§ 18-19.	Com certeza, nós queremos agradecer a Jeová por ele nos deixar fazer parte do povo dele. Um modo de fazer isso é dedicando nossa vida a ele. Estamos decididos a não fazer nada que Jeová odeie. Outro modo de agradecer a Jeová é amando e respeitando nossos irmãos, porque eles também são de Jeová. (Rom. 12:10) A Bíblia promete: "Jeová não desamparará o seu povo." (Sal. 94:14) Mesmo que passemos pela pior das situações, nada vai quebrar essa garantia de Jeová. Nem mesmo a morte vai fazer Jeová deixar de nos amar. (Rom. 8:38, 39) "Portanto, quer vivamos, quer morramos, pertencemos a Jeová." (Rom. 14:8) Não vemos a hora de chegar o dia em que Jeová vai trazer de volta todos os seus amigos leais que morreram. (Mat. 22:32) E mesmo hoje já recebemos muitas bênçãos de Jeová. Como a Bíblia diz, "feliz a nação cujo Deus é Jeová, o povo que ele escolheu como sua propriedade".	.
29.04.2020	Quarta		1 Cor. 10:23.	Tudo é permitido, mas nem tudo é vantajoso. Tudo é permitido, mas nem tudo edifica.	w18.04 10 § 10	Assuntos como educação e carreira são pessoais. Por isso, alguns acreditam que podem tomar qualquer decisão desde que a consciência não acuse. Talvez eles usem as palavras que Paulo usou quando falou aos cristãos coríntios sobre comida: "Por que a minha liberdade deveria ser julgada pela consciência de outro?" (1 Cor. 10:29) É verdade que temos a liberdade de decidir esses assuntos, mas temos que lembrar que nossa liberdade tem limites e que todas as decisões que tomamos têm consequências. Foi por isso que Paulo disse as palavras do texto de hoje. Essas palavras mostram que, embora tenhamos a liberdade de tomar decisões em assuntos pessoais, a nossa vontade nem sempre é o que mais importa.	.
